1,f_sI_xc ,kgCOD/kg COD,fraction of composites (substrate) disintegrate to soluble inerts (product)
2,f_xI_xc ,kgCOD/kg COD,fraction of composites (substrate) disintegrate to particulate inerts (product)
3,f_ch_xc,kgCOD/kg COD,fraction of composites (substrate) disintegrate to carbohydrates (product)
4,f_pr_xc ,kgCOD/kg COD,fraction of composites (substrate) disintegrate to proteins (product) 
5,f_li_xc,kgCOD/kg COD,fraction of composites (substrate) disintegrate to lipids (product)
6,N_xc,kmole N/(kg COD),nitrogen content of  composites
7,N_I ,kmole N/(kg COD),nitrogen content of  inerts
8,N_aa ,kmole N/(kg COD),nitrogen content of  amino acids
9,C_xc ,kmole C/(kg COD),carbon content of  composites
10,C_sI ,kmole C/(kg COD),carbon content of  soluble inerts
11,C_ch ,kmole C/(kg COD),carbon content of  carbohydrates
12,C_pr,kmole C/(kg COD),carbon content of  proteins
13,C_li,kmole C/(kg COD),carbon content of  lipids
14,C_xI,kmole C/(kg COD),carbon content of  particulate inerts
15,C_su,kmole C/(kg COD),carbon content of  monosaccharides
16,C_aa,kmole C/(kg COD),carbon content of  amino acids
17,f_fa_li,kgCOD/kg COD,fraction of lipids (substrate) degrade to LCFA (product)
18,C_fa,kmole C/(kg COD),carbon content of  total LCFA
19,f_h2_su,kgCOD/kg COD,fraction of monosaccharides (substrate) degrade to hydrogen (product)
20,f_bu_su,kgCOD/kg COD,fraction of monosaccharides (substrate) degrade to butyrate (product) 
21,f_pro_su,kgCOD/kg COD,fraction of monosaccharides (substrate) degrade to propionate (product)
22,f_ac_su,kgCOD/kg COD,fraction of monosaccharides (substrate) degrade to acetate (product)
23,N_bac,kmole N/(kg COD),nitrogen content of synthesized into bacteria
24,C_bu,kmole C/(kg COD),carbon content of  total butyrate
25,C_pro,kmole C/(kg COD),carbon content of  total propionate
26,C_ac,kmole C/(kg COD),carbon content of  total acetate
27,C_bac,kmole C/(kg COD),carbon content of  synthesized into bacteria
28,Y_su,kgCOD_X/kg COD_S,yield of biomass on monosaccharides (substrate)
29,f_h2_aa,kgCOD/kg COD,fraction of amino acids (substrate) degrade to hydrogen (product)
30,f_va_aa,kgCOD/kg COD,fraction of amino acids (substrate) degrade to valerate (product)
31,f_bu_aa,kgCOD/kg COD,fraction of amino acids (substrate) degrade to butyrate (product) 
32,f_pro_aa,kgCOD/kg COD,fraction of amino acids (substrate) degrade to propionate (product)
33,f_ac_aa,kgCOD/kg COD,fraction of amino acids (substrate) degrade to acetate (product)
34,C_va,kmole C/(kg COD),carbon content of  total valerate
35,Y_aa,kgCOD_X/kg COD_S,yield of biomass on amino acids (substrate)
36,Y_fa,kgCOD_X/kg COD_S,yield of biomass on total LCFA (substrate)
37,Y_c4,kgCOD_X/kg COD_S,yield of biomass on butyrate (substrate)
38,Y_pro,kgCOD_X/kg COD_S,yield of biomass on total propionate (substrate)
39,C_ch4,kmole C/(kg COD),carbon content of methane
40,Y_ac,kgCOD_X/kg COD_S,yield of biomass on total acetate (substrate)
41,Y_h2,kgCOD_X/kg COD_S,yield of biomass on hydrogen (substrate)
42,k_dis,1/d,disintegration rate
43,k_hyd_ch,1/d,hydrolysis rate of carbohydrates (carbs to simple sugars)
44,k_hyd_pr,1/d,hydrolysis rate of proteins
45,k_hyd_li,1/d,hydrolysis rate of lipids
46,K_S_IN,kgCOD_S/m3,half saturation value of inorganic nitrogen
47,k_m_su,kgCOD_S/kgCOD_X/d,Monod maximum specific uptake rate for monosaccharides
48,K_S_su,kgCOD_S/m3,half saturation value of monosaccharides
49,pH_UL_acidacet,unitless,upper pH limit of acidic acetate
50,pH_LL_acidacet,unitless,lower pH limit of acidic acetate
51,k_m_aa,kgCOD_S/kgCOD_X/d,Monod maximum specific uptake rate for amino acids
52,K_S_aa,kgCOD_S/m3,half saturation value of amino acids
53,k_m_fa,kgCOD_S/kgCOD_X/d,Monod maximum specific uptake rate for total LCFA
54,K_S_fa,kgCOD_S/m3,half saturation value of total LCFA
55,K_Ih2_fa,kgCOD/m3,inhibition constant LCFA (substrate) degradation by hydrogen (inhibitor)
